Covidence #;Study ID;Title;Reviewer Name;Title_1;DOI;Authors;Year of publication;Domain;Network topology;Execution type;Coordination mechanism;Governance;Security measures;Computation location;Data storage;Data movement;Output control;Data output;Components and responsibilities:; Component; Responsibility; Component_2; Responsibility_3; Component_4; Responsibility_5; Component_6; Responsibility_7; Component_8; Responsibility_9; Component_10; Responsibility_11; Component_12; Responsibility_13; Component_14; Responsibility_15; Component_16; Responsibility_17; Component_18; Responsibility_19;Column1;Architecture diagram present;Architecture diagram;Architecture summary;Researcher autonomy;Data distribution;Data visibility;Anonymity of data;Output control_20;Trust and control distribution;Auditability and traceability
8;Hagenhoff 2026;A reference information systems architecture for collaborative condition monitoring;Consensus;A reference information systems architecture for collaborative condition monitoring;10.1007/s10257-026-00716-x;Philipp Hagenhoff, Anna Gieß, Frederik Möller, Boris Otto;2026;Industrial;Decentralized;Containerized execution;Federated coordinator;Federated;"Legal agreements; Authentication; Manual approval";"Cloud; Edge device";"Cloud; Edge device; Federated databases";"Metadata; Aggregates; Raw data";Manual review;Aggregates;;;;;;;;;;;;;;;;;;;;;;;;#8-CCM;A decentralized industrial data space architecture integrating edge and cloud layers for collaborative condition monitoring. Sensor and machine data are processed locally and shared securely across factory operators, machine builders, and component suppliers through standardized connectors, dashboards, and governance mechanisms to support predictive maintenance and anomaly detection while preserving data sovereignty.;3;5;2;3;4;5;4
9;Araya-Martinez 2025;Data-Sovereign Architecture for Quality-As-A-Service Across Industrial Supply Chain Partners;Consensus;Data-Sovereign Architecture for Quality-As-A-Service Across Industrial Supply Chain Partners;10.1016/j.procir.2025.08.140;Jose Moises Araya-Martinez, Ajay Menon Kannanthodath Induchoodana, Srinidhi Krishna Kalpathy Sundaram, David Görzig, Johannes Diemer, Jens Lambrecht, Jörg Krüger;2025;Industrial;Decentralized;Containerized execution;Peer-to-peer;Federated;"Legal agreements; Authentication";"Edge device; Federated databases";Federated databases;"Metadata; Aggregates; Raw data";Automated filtering;"Metadata; Aggregates";;Customer node;Provides files, requests computation, receives results.;Supplier node;Receives files, trains model, computes using sensor data, sends results.;;;;;;;;;;;;;;;;;;Yes;#9-Qaas;A federated industrial Quality-as-a-Service architecture where suppliers locally train and execute AI quality inspection models using synthetic CAD-derived data, standardize outputs via AAS/IDTA, and securely exchange quality metrics through EDC dataspaces without transferring large raw datasets.;3;5;2;2;4;4;4
11;Hamiti 2025;A Data Space infrastructure supporting the integration of clinical data nodes and cancer registries to improve personalized medicine;Consensus;A Data Space infrastructure supporting the integration of clinical data nodes and cancer registries to improve personalized medicine;10.1145/3696593.3696627;Florim Hamiti, Martin Breidenbach, Naguib Heiba, Aynur Guluzade, Yehya Mohamad, Carlos A Velasco;2024;Healthcare;Centralized;"Trusted environment; Query-based";Trusted third party;Federated;"Legal agreements; Firewall; Authentication; Manual approval";Federated databases;Federated databases;"Metadata; Aggregates";Automated filtering;Aggregates;;Data nodes;Holds data, compute and protect said data.;Trust center;Connects the different nodes, anonymizes data.;User node;Connect to trust center to request computation result.;;;;;;;;;;;;;;;;Yes;#11-DS;Distributed EHDS-compatible healthcare data space where clinical nodes and cancer registries keep local control of data while secure queries and aggregated analyses are coordinated through a central data services/trust infrastructure using IDS connectors and security controls.;2;4;2;1;4;3;3
25;FokoSindjoung 2025;PERSEUS: Protection-Enhanced Resilient System for Securing Ubiquitous Healthcare Solutions;Consensus;PERSEUS: Protection-Enhanced Resilient System for Securing Ubiquitous Healthcare Solutions;10.3390/app152312692;Miguel Landry Foko Sindjoung, Garrik Brel Jagho Mdemaya, Martinien Deffo Foko, Mthulisi Velempini;2025;"Healthcare; IoT";Hierarchical;Containerized execution;Central orchestrator;Centralized;"VPN; Firewall; Authentication";"Cloud; Edge device; Central server";"Cloud; Edge device; Central server, database";"Aggregates; Raw data";Automated filtering;"Aggregates; Raw data";;IoMT sensors;Data collection, send to server.;MEC servers;Processing, primary and backup servers for security.;Cloud master node;Orchestration, computation of hungry tasks.;;;;;;;;;;;;;;;;Yes;#25-PERSEUS;"Secure IoMT healthcare architecture using MEC, SDN, IDS/IPS, VPN/TLS, and Kubernetes-based fault tolerance. IoMT devices offload tasks to MEC servers; SDN centrally manages networking/security; Kubernetes replicates and recovers MEC services automatically.";2;4;4;5;3;2;4
57;Duriakova 2025;A decentralised architecture for secure exchange of assets in data spaces: The case of SEDIMARK;Consensus;A decentralised architecture for secure exchange of assets in data spaces: The case of SEDIMARK;10.1016/j.dib.2025.111757;Erika Duriakova, Diarmuid O’Reilly-Morgan, Maroua Bahri, Maxime Costalonga, Gabriel Danciu, Septimiu Nechifor, Stefan-Cristian Jarcau, Tarek Elsaleh, Peipei Wu, Franck Le Gall, Grigorios Koutantos, Panagiotis Vlacheas, Luis Sánchez, Juan Ramón Santana, Pablo Sotres, Elias Tragos;2025;Cross-domain;Decentralized;"Federated learning; Query-based";Peer-to-peer;Decentralized;"Legal agreements; Authentication";"Edge device; Federated databases";"Edge device; Federated databases";"Metadata; Aggregates; Model parameters; Raw data";"Manual review; Automated filtering";"Metadata; Aggregates; Model; Raw data";;Provider node;Published metadata, offers policies, (pre)processes data, sends results.;Consumer node;Finds suitable provider, requests data, receives data.;;;;;;;;;;;;;;;;;;Yes;#57-SEDIMARK;SEDIMARK is a fully decentralised EU data-space marketplace using DLT, SSI, smart contracts, federated/distributed AI, and local data ownership. Providers keep data locally while enabling secure sharing, AI training, interoperability, and asset monetisation through distributed catalogues and policy-controlled exchange.;3;4;4;3;4;5;4
82;Roy 2023;Efficient Non-DHT-Based RC-Based Architecture for Fog Computing in Healthcare 4.0;Consensus;Efficient Non-DHT-Based RC-Based Architecture for Fog Computing in Healthcare 4.0;10.3390/iot4020008;Indranil Roy, Reshmi Mitra, Nick Rahimi, Bidyut Gupta;2023;Healthcare;Hierarchical;Query-based;"Central orchestrator; Peer-to-peer";"Centralized; Federated";"Firewall; Authentication; Manual approval";Edge device;"Cloud; Edge device";"Metadata; Aggregates; Raw data";;"Aggregates; Raw data";;Ring node;Holds global resource table, also a group node.;Group node;Hold data, hold local resource table.;Group head;Group node, holds local resource table, communication goes via group head.;Fog controller;Connected to sensors, divides tasks over ring nodes.;IoT;Generate data, send to fog controller.;;;;;;;;;;;;Yes;#82-P2P-RC;A hierarchical RC-based non-DHT P2P fog-computing architecture for Healthcare 4.0 using publish/subscribe communication and resource-aware fog node grouping to reduce latency and improve scalable resource discovery.;4;3;4;5;2;3;2
90;Bagozi 2026;A multi-layered data service model for Cyber-Physical Production Networks;Consensus;A multi-layered data service model for Cyber-Physical Production Networks;10.1016/j.jii.2025.101043;Ada Bagozi, Devis Bianchini, Massimiliano Garda, Michele Melchiori, Anisa Rula;2026;Industrial;"Centralized; Hierarchical";"Query-based; Containerized execution";"Central orchestrator; Federated coordinator; Manual coordination";Consortium;"Legal agreements; Authentication";"Central server; Federated databases";"Central server, database; Federated databases";"Metadata; Aggregates; Raw data";"Unrestricted; Manual review";"Metadata; Aggregates; Raw data";;System node;Holds data, receives request, executes computation.;;;;;;;;;;;;;;;;;;;;Yes;#90-SCN;A three-layer service-oriented architecture for cyber-physical production networks that separates atomic services, factory-level composite services (CPPS), and cross-supply-chain services (CPPN). It supports modularity, interoperability, data sovereignty, RBAC-based governance, and both centralized and distributed deployments.;3;1;3;4;3;1;3
124;Ranathunga 2024;Enabling secure and self-sovereign machine learning model exchange in manufacturing data spaces;Consensus;Enabling secure and self-sovereign machine learning model exchange in manufacturing data spaces;10.1016/j.jii.2024.100733;Tharindu Ranathunga, Alan McGibney, Sourabh Bharti;2024;Industrial;Decentralized;Federated learning;Federated coordinator;Federated;Authentication;Federated databases;Federated databases;Model parameters;"Manual review; Automated filtering";Model;;Data space node;Hold data, train model locally, coordinate with other nodes.;;;;;;;;;;;;;;;;;;;;No;#124-CORDS;"CORDS is a decentralized manufacturing data space framework enabling self-sovereign ML model sharing. Local data is semantically integrated via LDT; ML artefacts are advertised/shared through GDT using IDSA connectors, metadata brokers, contracts, and usage-control policies.";4;5;1;2;4;4;4
142;González-García 2024;PHIRI: Lessons for an extensive reuse of sensitive data in federated health research;Consensus;PHIRI: lessons for an extensive reuse of sensitive data in federated health research;10.1093/eurpub/ckae036;"Juan González-García, Javier Gonzalez-Galindo, Francisco Estupiñán-Romero; Martin Thißen, Ronan A. Lyons, Carlos Telleria-Orriols, Enrique Bernal-Delgado; on behalf of PHIRI";2024;Healthcare;"Centralized; Hierarchical";Containerized execution;Central orchestrator;"Centralized; Federated";"Legal agreements; Authentication; Manual approval; Other: Container isolation";Federated databases;Federated databases;"Metadata; Aggregates; Synthetic data";Manual review;Aggregates;;Promoter node;Defines research question;Coordination node;Builds pipeline/containers, aggregates results;Participant nodes;Run analysis, return results.;Docker container;Packages execution, run by participant nodes.;;;;;;;;;;;;;;;#142-PHIRI;PHIRI is a federated health research infrastructure based on the “data visiting” principle where data remains local and containerized analytical pipelines move to participant nodes. A coordination node orchestrates workflows, distributes Dockerized pipelines and CDMs, and aggregates local outputs from multiple institutions for joint analyses while preserving privacy and interoperability.;3;4;2;3;3;3;3
156;Kalafatelis 2025;Privacy-Preserving Hierarchical Federated Learning Over Data Spaces;Consensus;Privacy-Preserving Hierarchical Federated Learning over Data Spaces;10.1109/BIGDATA66926.2025.11400909;Alexandros S. Kalafatelis, Vasileios Nikolakakis, Nikolaos Tsoulakos, Panagiotis Trakadas;2025;Industrial;Hierarchical;Federated learning;Federated coordinator;Federated;"Differential privacy; Homomorphic encryption; Authentication";Federated databases;Federated databases;Model parameters;Manual review;Model parameters;;Data space node;Hold data, train local model on data.;Aggregator node;Aggregate models from data space nodes, send to server.;FLoDS server;Aggregate models from aggregator nodes.;;;;;;;;;;;;;;;;Yes;#156-FLoDS;FLoDS is a hierarchical federated learning framework for Data Spaces where clients train locally, stewards enforce governance/privacy and aggregate updates securely, and a central orchestrator performs global fusion using encrypted steward updates and audit manifests.;2;5;1;2;3;3;4
157;Meng 2025;Devolution: A Symbiotic Cloud–Edge Framework for Real-Time Multimodal Retrieval in 6G-Based Surveillance IoT System;Consensus;DEVOLUTION: A Symbiotic Cloud–Edge Framework for Real-Time Multimodal Retrieval in 6G-Based Surveillance IoT System;10.1109/JIOT.2025.3601800;Lingwu Meng, Guangchi Liu, Junzhou Luo;2025;IoT;Hierarchical;"Query-based; Containerized execution";Central orchestrator;Centralized;;"Cloud; Edge device";"Edge device; Federated databases";"Aggregates; Raw data";Automated filtering;"Aggregates; Raw data";;IoT node;Collect data, pre-proccessing, send upward.;Edge node;Store data locally, filter and send only the Top-K candidates up.;Cloud server;Compute;;;;;;;;;;;;;;;;;#157-Devolution;DEVOLUTION is a cloud–edge collaborative multimodal retrieval framework for surveillance IoT. The cloud fine-tunes CN-CLIP models and manages hierarchical indexes, while edge nodes preprocess/store multimodal data and perform local retrieval using hierarchical clustering and BFBS beam search. Elasticsearch integrates distributed indexing and retrieval, with AES securing data transmission.;4;3;4;4;2;2;2
160;Wang 2026;Secure multi-party test case data generation through generative adversarial networks;Consensus;Secure Multi-party Test Case Data Generation Through Generative Adversarial Networks;10.1038/s41598-026-35773-2;Zheng Wang, Liutao Zhao, Fanyin Meng, Zhongshan Zhu, Yiqing Lu;2026;"IoT; Industrial";Centralized;Federated learning;Central orchestrator;"Centralized; Federated";"Differential privacy; Homomorphic encryption; Authentication";"Central server; Federated databases";Federated databases;Model parameters;Automated filtering;"Aggregates; Model parameters; Model; Synthetic data";;Participant node;Holds the local dataset, train on data.;Coordinator;Aggregate to a global model. ;;;;;;;;;;;;;;;;;;Insufficient;#160-GAN;FAT-CG is a federated GAN-based framework for generating syntactically valid industrial protocol test cases without sharing raw data. Participants locally preprocess and train models, exchange encrypted gradients/latent vectors with a central coordinator, and validate outputs through syntax and anomaly checking.;3;5;1;1;3;3;2
165;Akdemir 2025;From Technical Prerequisites to Improved Care: Distributed Edge AI for Tomographic Imaging;Consensus;From Technical Prerequisites to Improved Care: Distributed Edge AI for Tomographic Imaging;10.1109/ACCESS.2025.3530297;Bilgehan Akdemir, Hafiz Faheem Shahid, Mikael A. K. Brix, Juho Lääkkölä, Johirul Islam, Tanesh Kumar, Jarmo Reponen, Miika T. Nieminen, Erkki Harjula;2025;Healthcare;Hierarchical;"Federated learning; Containerized execution";"Federated coordinator; Manual coordination";Federated;"Legal agreements; Authentication; Isolated computation environment";"Cloud; Edge device; Central server; Federated databases";"Cloud; Edge device; Federated databases";"Aggregates; Model parameters; Raw data";Manual review;"Aggregates; Raw data";;CBCT scanner;Generates data.;Edge nodes;Processing, lightweight ML models.;Cloud;processing, storage;IRS workstation;Radiologist access, pre-processing, request for processing.;;;;;;;;;;;;;;Insufficient;#165-3-TECC;Distributed 3-tier edge-cloud architecture for CBCT reconstruction and medical imaging AI. Data is processed as close as possible to the source using local and edge computing, with cloud used for heavier tasks. Supports distributed AI, containerized services, and privacy-aware healthcare processing.;4;3;3;5;3;4;2
166;Chen 2024;Toward an Edge-Friendly Distributed Object Store for Serverless Functions;Consensus;Toward an Edge-Friendly Distributed Object Store for Serverless Functions;10.1145/3678015.3680485;Xin Chen, Manoj Prabhakar Paidiparthy, Liting Hu;2024;IoT;Decentralized;Containerized execution;Peer-to-peer;Decentralized;"Authentication; Isolated computation environment";Edge device;"Edge device; Federated databases";Aggregates;Automated filtering;Aggregates;;Node;Holds routing table to find other functions, offers function and necessary data for execution. Executes functions with container and returns results.;;;;;;;;;;;;;;;;;;;;Yes;#166-Capybara;Capybara is a decentralized edge-friendly distributed object store for serverless functions. It uses a DHT-based P2P overlay for scalable routing/storage and programmable handlers for customizable state management policies while co-locating data and computation on edge nodes.;2;5;1;3;4;5;2
174;Gehrer 2024;EuProGigant: A decentralized Federated Learning Approach based on Compute-to-Data and Gaia-X;Consensus;EuProGigant: A decentralized Federated Learning Approach based on Compute-to-Data and Gaia-X;10.1016/j.procir.2024.07.060;Roman Gehrer, Stefan Dumss, Fabian Gast, Willi Wunschel, Frederic Schwill, Mateo Soša, Shiyang Zhou, Gerald H. Ristow, Tatevik Gharagyozyan, Clemens Heistracher, Manfred Grafinger, Matthias Weigold;2024;Industrial;Decentralized;"Federated learning; Containerized execution";Blockchain-coordinated;Decentralized;"Legal agreements; Authentication; Isolated computation environment";"VM; Edge device; Federated databases";"Edge device; Federated databases";"Model parameters; Model";Manual review;Model;;Data owner node;;Model owner node;;;;;;;;;;;;;;;;;;;Yes;#174-EuProGigant;A decentralized federated learning architecture for manufacturing where data owners keep machine data locally on edge devices while model owners distribute training containers via Ocean Protocol Compute-to-Data. Gaia-X trust services and smart contracts coordinate trusted access, orchestration, and aggregation without a centralized authority.;4;5;1;4;2;5;4
209;Kyriakou 2024;A Secure and Trustworthy Biometric Data Ecosystem for Cross-border Suspect Identification;Consensus;A Secure and Trustworthy Biometric Data Ecosystem for Cross-border Suspect Identification;10.1109/BigData62323.2024.10826113;Katerina Kyriakou, Apostolos Apostolaras, Polychronis Velentzas, Georgios Benos, Konstantinos Koutsoukos, Chrysostomos Symvoulidis, Kaitai Liang, Zeshun Shi, Asterios Leonidis, Kyriaki Miniadou, Eleni Veroni, Spyridon Evangelatos, Georgios Th. Papadopoulos, Thanasis Korakis;2024;Government;Decentralized;"Trusted environment; Query-based";"Federated coordinator; Blockchain-coordinated";Federated;"Legal agreements; Homomorphic encryption; Authentication";Federated databases;Federated databases;"Metadata; Aggregates; Encrypted data; Raw data";"Manual review; Automated filtering";"Aggregates; Raw data";;Data space node;Stores data, offers results along policy. Request results from other nodes;;;;;;;;;;;;;;;;;;;;No;#209-BDS;A decentralized biometric data-sharing ecosystem for cross-border suspect identification where LEAs keep local control of biometric databases while secure IDS connectors, blockchain smart contracts, and PETs (deep hashing, homomorphic encryption, AES/fuzzy extractors) enable encrypted distributed biometric search and controlled profile exchange.;3;5;3;4;4;4;5
217;Kallisch 2026;Connecting Manufacturing Sector Data Ecosystems with Federated Learning;Consensus;Connecting Manufacturing Sector Data Ecosystems with Federated Learning;10.1007/978-3-031-99219-3_3;Jonas Kallisch, Jorge Marx Gómez;2026;Industrial;Centralized;Federated learning;Central orchestrator;Federated;"Differential privacy; Legal agreements; Authentication";Federated databases;Federated databases;"Metadata; Model parameters";"Manual review; Automated filtering";Model;;Data space node;Train local model, share with orchestrator through data space.;Orchestrator node;Request trained model from local node, using services or otherwise, aggregate results.;;;;;;;;;;;;;;;;;;Yes;#271-FL-DE;The paper proposes integrating FL into manufacturing data ecosystems such as GAIA-X and EuProGiant. Data remain local at companies while FL clients train models collaboratively through federated coordination and catalog/discovery services. Architectures aim to preserve sovereignty while enabling cross-company analytics.;2;5;1;2;4;3;3
255;Abd 2025;Hydra Radio Access Network (Hydra-RAN): Multi-Functional Communications and Sensing Networks: A Hierarchical Framework for Task Distribution;Consensus;Hydra Radio Access Network (Hydra-RAN): Multi-Functional Communications and Sensing Networks: A Hierarchical Framework for Task Distribution;10.1109/ICTC66702.2025.11388197;Rafid I. Abd, Kwang Soon Kim, Masoud Ardakani;2025;IoT;Hierarchical;Containerized execution;Central orchestrator;Centralized;;"Cloud; Edge device; Federated databases";"Cloud; Edge device; Federated databases";"Aggregates; Model; Encrypted data; Raw data";Unrestricted;"Aggregates; Model; Raw data";;Sensors, IoT, Mobile devices, Cars;Generate stream data.;Edge devices;Sensing and classification of environment, pre-processing of sensor data, execution of lightweight ML models.;Fog devices;Aggregation of edge results, execution of agents for real-time decision-making, coordination of scheduling.;Cloud servers;Long-term learning model updates, management of historical data.;;;;;;;;;;;;;;Yes;#255-Hydra-RAN;Hydra-RAN is a hierarchical edge–fog–cloud framework for dynamic, context-aware task distribution in multifunctional communication and sensing networks. Lightweight low-latency tasks run at the edge, DRL-based scheduling occurs at the fog layer, and global orchestration/model training occurs in the cloud.;4;5;2;4;1;2;2
