Covidence #;Study ID;Title;Reviewer Name;Title_1;DOI;Authors;Year of publication;Domain;Network topology;Execution type;Coordination mechanism;Governance;Security measures;Computation location;Data storage;Data movement;Output control;Data output;Components and responsibilities:; Component; Responsibility; Component_2; Responsibility_3; Component_4; Responsibility_5; Component_6; Responsibility_7; Component_8; Responsibility_9; Component_10; Responsibility_11; Component_12; Responsibility_13; Component_14; Responsibility_15; Component_16; Responsibility_17; Component_18; Responsibility_19;Column1;Architecture diagram present;Architecture diagram;Architecture summary;Researcher autonomy;Data distribution;Data visibility;Anonymity of data;Output control_20;Trust and control distribution;Auditability and traceability
288;Choudhury 2025;Advancing Privacy-Preserving Health Care Analytics and Implementation of the Personal Health Train: Federated Deep Learning Study;Consensus;Advancing Privacy-Preserving Health Care Analytics and Implementation of the Personal Health Train: Federated Deep Learning Study;10.2196/60847;"Ananya Choudhury; Leroy Volmer; Frank Martin; Rianne Fijten; Leonard Wee; Andre Dekker; Johan van Soest";2025;Healthcare;Centralized;"Federated learning; Containerized execution";Central orchestrator;"Federated; Consortium";"VPN; Legal agreements; Firewall; Authentication";"Cloud; Edge device";"Edge device; Federated databases";Model parameters;"Manual review; Disclosure";Model;;Central coordinating server;Task orchestration, client handling.;Secure Aggregation Server;Model aggregation.;Data nodes;Local training of model, export of parameters.;;;;;;;;;;;;;;;;Yes;#288-ARGOS;PHT/Vantage6-based federated deep learning infrastructure connecting distributed hospital data stations through secure encrypted tracks, coordinated by a central server and secure aggregation server. Dockerized CNN models train locally at hospitals, only model weights are exchanged and aggregated centrally without sharing raw patient data.;2;4;1;2;4;3;4
360;Alzubaidi 2025;ATD Learning: A secure, smart, and decentralised learning method for big data environments;Consensus;ATD Learning: A secure, smart, and decentralized learning method for big data environments;10.1016/j.inffus.2025.102953;"Laith Alzubaidi, Sabah Abdulazeez Jebur, Tanya Abdulsattar Jaber, Mohanad A. Mohammed, Haider A. Alwzwazy, Ahmed Saihood, Harshala Gammulle,
Jose Santamaria, Ye Duan, Clinton Fookes, Raja Jurdak, Yuantong Gu";2025;"IoT; Cross-domain";Decentralized;Federated learning;"Peer-to-peer; Blockchain-coordinated";"Consortium; Decentralized";"Homomorphic encryption; Authentication";Federated databases;Federated databases;Model parameters;Automated filtering;Model;;Federated node;Trains model on local data, combines with other models, communicates with other nodes. Logging on blockchain.;;;;;;;;;;;;;;;;;;;;Yes;#360-ADT;Decentralized AI-to-data framework where models move to local data sources, nodes exchange encrypted features through blockchain-secured peer-to-peer coordination, and global learning is achieved via feature fusion and consensus validation.;4;5;2;2;4;5;5
384;Buzin 2025;A Modular Architecture for Inter-Fog Environments;Consensus;A Modular Architecture for Inter-Fog Environments;10.1109/IOTSMS68530.2025.11408502;Henrique Buzin, Alysson Oliveira, Mauro Marques, Patricia Della Mea Plentz;2025;IoT;Hierarchical;Containerized execution;"Central orchestrator; Federated coordinator";Centralized;Authentication;"Cloud; Edge device; Federated databases";"Cloud; Edge device";"Aggregates; Raw data";Unrestricted;"Aggregates; Raw data";;IoT;Generate data, send upward.;Primary node;Orchestrates distribution of tasks between fog notes.;Fog node;Compute, send result upward.;Aggregator node;Combine results from fog nodes, send to cloud.;Cloud;Compute hungry tasks, store results.;;;;;;;;;;;;Yes;#384-IFE;Modular fog computing architecture enabling direct inter-fog communication, protocol abstraction (HTTP/CoAP), load balancing, configurable services, and cloud integration for smart-city IoT processing.;4;5;3;4;2;3;2
442;Falcão 2023;A Reference Architecture for Enabling Interoperability and Data Sovereignty in the Agricultural Data Space;Consensus;A Reference Architecture for Enabling Interoperability and Data Sovereignty in the Agricultural Data Space;10.3390/info14030197;Rodrigo Falcão, Raghad Matar, Bernd Rauch, Frank Elberzhager, Matthias Koch;2023;"IoT; Industrial";Hierarchical;Query-based;Federated coordinator;Federated;"Authentication; Manual approval";"Cloud; VM; Federated databases";"Cloud; Federated databases";"Aggregates; Raw data";"Manual review; Automated filtering";Aggregates;;Twin hub node;Hosts twin hub instance, stores data, allows connections and processes when necessary.;Farmer node;Upload data to twin hub node, approve usages. Request data / results from other farmers.;External nodes;Request data / results from other farmers.;;;;;;;;;;;;;;;;Yes;#442-COGNAC;Multi-instance “Twin-Hub” platform for agricultural data sharing. Farmers host digital field twins, manage fine-grained consent, and monitor access logs. Services access field data through standardized APIs or mediated exchange mechanisms to support interoperability and data sovereignty.;3;3;3;5;4;3;5
454;BoninodaSilvaSantos 2023;Personal Health Train Architecture with Dynamic Cloud Staging;Consensus;Personal Health Train Architecture with Dynamic Cloud Staging;10.1007/s42979-022-01422-4;Luiz Olavo Bonino da Silva Santos, Luís Ferreira Pires1, Virginia Graciano Martinez, João Luiz Rebelo Moreira, Renata Silva Souza Guizzardi;2022;Healthcare;Centralized;"Query-based; Containerized execution; Other: API, Script, Message";Central orchestrator;Federated;"VPN; Authentication; Manual approval; Other: Encryption";"Cloud; Federated databases";Federated databases;"Metadata; Aggregates; Raw data";"Manual review; Automated filtering";Aggregates;;Data Station;Hosts data, executes trains, enforces access control.;Personal Gateway;Mediates communication with Data Controllers;Station Directory;Metadata indexing and discovery of stations/data.;Train;Encapsulated analysis request/algorithm;;;;;;;;;;;;;;Yes;#454-PHT-DCS;"The architecture extends the Personal Health Train (PHT) paradigm, where algorithms (""trains"") travel to data rather than moving data to analysts. Data remain under control of local Data Stations. When a station lacks computational resources, a cloud-based Staging Station is dynamically deployed in AWS. Required data are copied to this controlled cloud environment, containerized analysis is executed, results are returned to the original Data Station, and outputs may be reviewed before release. The architecture combines federated governance with elastic cloud computation while preserving local control and privacy compliance.";4;4;1;4;3;4;4
485;Fidelis 2024;Improving edge AI for industrial IoT applications with distributed learning using consensus;Consensus;Improving edge AI for industrial IoT applications with distributed learning using consensus;10.1007/s10617-024-09284-0;Samuel Fidelis, Márcio Castro, Frank Siqueira;2024;"IoT; Industrial";Hierarchical;Federated learning;"Central orchestrator; Peer-to-peer";Decentralized;;"Cloud; Edge device";"Cloud; Edge device; Federated databases";"Aggregates; Model parameters; Raw data";Unrestricted;Aggregates;;IoT/sensors;Generate data, send upward.;Mist node;Pre=processing, tinyML, send results upward.;Fog nodes;Federated learning, send results upward.;Cloud nodes;Aggregate and store results. ;;;;;;;;;;;;;;Insufficient;#485-DEAI;Distributed Edge AI architecture for IIoT where lightweight ML models run on mist/fog edge nodes, predictions are combined using a peer-to-peer consensus algorithm, and cloud resources are mainly used for summarized storage and dashboards.;3;5;4;4;2;5;2
530;Merkl 2020;Complex Event Processing on the Edge - Bringing Data Consolidation and Processing closer to Wireless Sensor Networks;Consensus;Complex Event Processing on the Edge - Bringing Data Consolidation and Processing closer to Wireless Sensor Networks;10.13140/RG.2.2.14784.97286;David Merkl, Henry-Norbert Cocos;2020;IoT;Hierarchical;Containerized execution;Central orchestrator;Centralized;Authentication;"Cloud; Edge device";"Cloud; Edge device; Central server, database";"Aggregates; Raw data";Unrestricted;"Aggregates; Raw data";;Sensor nodes;Generate data, send upward.;Coordinator node;Receive data from sensor nodes, coordinate computation.;Edge nodes;Compute, send results upward.;Cloud node;Compute hungry tasks, store results.;;;;;;;;;;;;;;Yes;#530-ZigBee;A ZigBee-based wireless sensor network sends environmental sensor data to a Raspberry Pi edge node running Siddhi CEP and MongoDB. The edge node preprocesses, filters, aggregates, and stores data locally before forwarding selected data to fog/cloud services for further analytics.;4;2;4;4;2;2;2
549;Unnibhavi 2022;Secure and Policy-Compliant Query Processing on Heterogeneous Computational Storage Architectures;Consensus;Secure and Policy-Compliant Query Processing on Heterogeneous Computational Storage Architectures;10.1145/3514221.3517913;Harshavardhan Unnibhavi, David Cerdeira, Antonio Barbalace, Nuno Santos, Pramod Bhatotia;2022;Cross-domain;Centralized;"Trusted environment; Query-based";Trusted third party;"Centralized; Contract-based";"Legal agreements; Authentication; Isolated computation environment";"Cloud; Central server; Federated databases";"Cloud; Central server, database";"Metadata; Aggregates; Raw data";Automated filtering;"Aggregates; Raw data";;Data producer;Sends data to main infrastructure, specifies access policies.;Data consumer;Requests results in the form of queries.;Cloud node;Stores data, processes, manages access based on policies.;;;;;;;;;;;;;;;;Yes;#549-IronSafe;IronSafe is a secure, policy-compliant query processing system for heterogeneous computational storage architectures. Queries are partitioned between trusted x86 host and ARM storage nodes using SGX and TrustZone TEEs, while a trusted monitor performs attestation, policy enforcement, logging, and secure key management.;4;2;3;4;4;2;5
563;Firdausy 2022;Towards a Reference Enterprise Architecture to enforce Digital Sovereignty in International Data Spaces;Consensus;Towards a Reference Enterprise Architecture to enforce Digital Sovereignty in International Data Spaces;10.1109/CBI54897.2022.00020;Danniar Reza Firdausy, Patrício de Alencar Silva, Maria-Eugenia Iacob, Marten van Sinderen;2022;Industrial;Hierarchical;Containerized execution;"Federated coordinator; Trusted third party";Federated;"Legal agreements; Authentication";"Cloud; Edge device; Federated databases";Federated databases;"Metadata; Aggregates; Raw data";"Manual review; Automated filtering";"Metadata; Aggregates; Raw data";;Broker service provider + certification body + clearing house;Central device that allows nodes to find each other and connect.;Data owner node;Has data, shares metadata and decides usage policies. Optionally executes analysis/aggregation/cleaning through apps.;Data user node.;Finds the right data owner node using broker, accepts policy, receives results.;;;;;;;;;;;;;;;;Insufficient;#563-Ref-IDS;Reference enterprise architecture for International Data Spaces (IDS) enabling sovereign cross-organizational data sharing through certified IDS connectors, broker services, usage policies, metadata publication, and reusable data apps while maintaining interoperability.;2;4;3;4;4;4;3
582;Habenicht 2022;SyncMesh: Improving Data Locality for Function-As-A-Service in Meshed Edge Networks;Consensus;SyncMesh: Improving Data Locality for Function-as-a-Service in Meshed Edge Networks;10.1145/3517206.3526275;Daniel Habenicht, Kevin Kreutz, Soeren Becker, Jonathan Bader, Lauritz Thamsen, Odej Kao;2022;IoT;Decentralized;"Containerized execution; Other: Function-as-a-Service";Peer-to-peer;Decentralized;;"Edge device; Federated databases";"Edge device; Federated databases";"Aggregates; Raw data";Automated filtering;"Aggregates; Raw data";;SyncMesh node;Receives function calls, computes result from data, returns results.;;;;;;;;;;;;;;;;;;;;Yes;#582-SyncMesh;Decentralized mesh of autonomous edge nodes using OpenFaaS and containers. Each node stores local sensor data, processes it locally through transformer functions, and exchanges data with neighboring nodes on-demand to improve locality and reduce network traffic.;3;5;4;4;2;4;2
583;Koch 2022;KRAKEN: A Privacy-Preserving Data Market for Authentic Data;Consensus;KRAKEN: A Privacy-Preserving Data Market for Authentic Da;10.1145/3565011.3569057;Karl Koch, Stephan Krenn, Tilen Marc, Stefan More, Sebastian Ramacher;2022;Cross-domain;Hierarchical;"Federated learning; Trusted environment; Query-based";Central orchestrator;Federated;"Legal agreements; Homomorphic encryption; Authentication";"Cloud; Federated databases";"Cloud; Federated databases";"Aggregates; Model parameters; Raw data";"Manual review; Automated filtering";"Aggregates; Encrypted data; Raw data";;Provider node;Collect data, register with broker and send to cloud.;Cloud storage;Holds data.;Broker;Handles connections with providers, computation nodes and consumers.;Computation node;Fetch data from cloud, compute, send to consumer.;Consumer node;Request data with broker, receive from computation node.;;;;;;;;;;;;Yes;#583-KRAKEN;Privacy-preserving data marketplace using MPC and cryptographic protocols. Data owners keep encrypted/shared data in chosen cloud storage, define usage policies, and distributed computation nodes execute approved analytics or secure data sharing coordinated by a broker without exposing plaintext data to the broker.;3;4;2;4;4;4;2
592;Gaye 2014;DataSHIELD: Taking the analysis to the data, not the data to the analysis;Consensus;DataSHIELD: taking the analysis to the data, not the data to the analysis;10.1093/ije/dyu188;"Amadou Gaye, Yannick Marcon, Julia Isaeva, Philippe LaFlamme,
Andrew Turner, Elinor M Jones, Joel Minion, Andrew W Boyd,
Christopher J Newby, Marja-Liisa Nuotio, Rebecca Wilson,
Oliver Butters, Barnaby Murtagh, Ipek Demir, Dany Doiron,
Lisette Giepmans, Susan E Wallace, Isabelle Budin-Ljøsne,
Carsten Oliver Schmidt, Paolo Boffetta, Mathieu Boniol,
Maria Bota, Kim W Carter, Nick deKlerk, Chris Dibben,
Richard W Francis, Tero Hiekkalinna, Kristian Hveem,
Kirsti Kvaløy, Sean Millar, Ivan J Perry, Annette Peters,
Catherine M Phillips, Frank Popham, Gillian Raab, Eva Reischl,
Nuala Sheehan, Melanie Waldenberger, Markus Perola,
Edwin van den Heuvel, John Macleod, Bartha M Knoppers,
Ronald P Stolk,10, Isabel Fortier, Jennifer R Harris,
Bruce HR Woffenbuttel, Madeleine J Murtagh,
Vincent Ferretti and Paul R Burton";2014;"Healthcare; Genomics";Hierarchical;"Query-based; Other: Distributed/federated statistical computation (not machine-learning federated learning)";Central orchestrator;Federated;"Firewall; Authentication; Manual approval; Other: Disclosure control rules (cell suppression, minimum counts)
Command whitelisting / approved functions only
Audit logging of commands";"Central server; Federated databases";Federated databases;Aggregates;"Manual review; Automated filtering";Aggregates;;Analysis Computer (AC);Sends analysis commands, coordinates execution, combines summaries, computes final results.;Data Computer (DC);Communicates with AC and executes approved computations on local data.;Opal database;Stores harmonized study data and exposes them for DataSHIELD.analysis;Institution database;Stores institution data, unharmonized study data.;;;;;;;;;;;;;;Yes;#592-DataSHIELD;DataSHIELD uses a federated architecture where a central Analysis Computer sends approved analysis commands to multiple Data Computers. Each Data Computer hosts an Opal database and server-side R environment behind a firewall. Computation occurs locally on each site's data. Only non-disclosive summary statistics (e.g., score vectors, information matrices, contingency tables) are returned to the Analysis Computer, which combines them to produce global results. Raw individual-level data never leave their originating institution.;3;5;1;3;2;4;4
621;Weise 2022;OSSDIP: Open Source Secure Data Infrastructure and Processes Supporting Data Visiting;Consensus;OSSDIP: Open Source Secure Data Infrastructure and Processes Supporting Data Visiting;10.5334/dsj-2022-004;Martin Weise, Filip Kovacevic, Nikolas Popper, Andreas Rauber;2022;Cross-domain;Centralized;"Trusted environment; Other: VM-based isolated execution";Central orchestrator;Centralized;"Differential privacy; VPN; Legal agreements; Firewall; Authentication; Manual approval";"VM; Central server";Central server, database;"Metadata; Aggregates; Encrypted data; Raw data";Manual review;Aggregates;;Data node;Central storage that holds sensitive data, isolated. Only accessible by administrator.;Data Owner-VM;Access point for data owner, for ingress or egress of data.;Analyst-VM;Environment for analysis of data;Remote Desktop-VM;Access point for data users, connects to Analyst-VM, ensures logging.;;;;;;;;;;;;;;Yes;#621-OSSDIP;OSSDIP is an open-source secure data visiting infrastructure that keeps sensitive data inside a protected central Data Node while allowing analysts to work on isolated temporary VMs via remote desktop access. The system combines network segmentation, VM isolation, firewall barriers, monitoring, legal agreements, approval workflows, and auditing to prevent unauthorized data leakage while still enabling exploratory analysis.;4;1;4;4;3;2;5
657;Hsieh 2017;Gaia: Geo-distributed machine learning approaching LAN speeds;Consensus;Gaia: Geo-Distributed Machine Learning Approaching LAN Speeds;10.5555/3154630.3154682;Kevin Hsieh, Aaron Harlap, Nandita Vijaykumar, Dimitris Konomis, Gregory R. Ganger, Phillip B. Gibbons, Onur Mutlu;2017;Cross-domain;"Hierarchical; Decentralized";Federated learning;Federated coordinator;Federated;Legal agreements;Federated databases;Federated databases;"Model parameters; Model";"Unrestricted; Automated filtering";Model;;Worker node;Uses data to create local model.;Parameter server;Combines models of workers within data center, exchanges with parameter servers of other data centers.;;;;;;;;;;;;;;;;;;Yes;#657-Gaia;Gaia is a geo-distributed ML system built on a parameter-server architecture. Each datacenter maintains a local approximate copy of the global model. Local workers synchronize through BSP/SSP inside datacenters, while datacenters synchronize over WANs using Approximate Synchronous Parallel (ASP), which filters insignificant updates to reduce WAN communication while preserving convergence guarantees.;3;5;1;2;3;5;2
659;Sandur 2022;Jarvis: Large-scale Server Monitoring with Adaptive Near-data Processing;Consensus;Jarvis: Large-scale Server Monitoring with Adaptive Near-data Processing;10.1109/ICDE53745.2022.00110;Atul Sandur, ChanHo Park, Stavros Volos, Gul Agha, Myeongjae Jeon;2022;"IoT; Industrial";Hierarchical;Query-based;Central orchestrator;"Centralized; Federated";;"Central server; Federated databases";Federated databases;"Aggregates; Raw data";;"Aggregates; Raw data";;Root node ;Sends query down, aggregates results to compute the final query output.;Indermediate node;Sends query down, aggregates results, sends results up.;Data source node;Holds data, answers queries by processing and sending results up.;;;;;;;;;;;;;;;;Yes;#659-Jarvis;Jarvis is a decentralized near-data stream analytics system for datacenter monitoring. Queries are partitioned dynamically between data source nodes and stream processors using adaptive data-level partitioning. Local runtimes adjust operator load factors to reduce network transfer and improve throughput under changing resource conditions.;4;5;3;4;2;4;2
682;Karagiannis 2023;The Blue Dataverse: A System for Marine Data Sovereignty;Consensus;The Blue Dataverse: A System for Marine Data Sovereignty;10.1109/WF-IOT58464.2023.10539378;Vasileios Karagiannis, Mays AL-Naday, Tom De Block;2023;IoT;Decentralized;Query-based;Federated coordinator;Federated;"Legal agreements; Authentication";"Cloud; Edge device; Federated databases";Federated databases;"Metadata; Aggregates; Model parameters; Model; Raw data";"Manual review; Automated filtering";"Aggregates; Model; Raw data";;Data space nodes;Host data, offer with policies.;App provider;Provides computation according to policies.;;;;;;;;;;;;;;;;;;Yes;#681-Blue;The Blue Dataverse is a federated marine data space where providers expose sovereign datasets through connectors enforcing usage policies. Federated services manage identity, metadata discovery, and semantic interoperability. App providers discover datasets, agree to policies, and receive data directly from providers for IoT analytics.;3;4;4;4;4;4;3
697;Alaasam 2021;The Challenges and Prerequisites of Data Stream Processing in Fog Environment for Digital Twin in Smart Industry;Consensus;The Challenges and Prerequisites of Data Stream Processing in Fog Environment for Digital Twin in Smart Industry;10.3991/ijim.v15i15.24181;Ameer B. A. Alaasam;2021;"IoT; Industrial";Hierarchical;Containerized execution;Peer-to-peer;"Federated; Platform";;"Cloud; Edge device; Federated databases";"Cloud; Federated databases";"Aggregates; Raw data";Unrestricted;"Aggregates; Raw data";;Physical assets / IoT sensors;Generate data streams from industrial systems;Fog nodes;Local preprocessing, low-latency analytics, stream processing;Cloud;Long-term processing, storage, advanced analytics;;;;;;;;;;;;;;;;Yes;#697-DT-EC;A hierarchical fog-cloud Digital Twin architecture where loosely coupled containerized processing services operate across edge/fog/cloud layers. Data layers and processing layers are separated to support portability, stateful stream processing, replication, low latency, and distributed analytics for industrial IoT systems.;4;5;4;4;1;3;2
743;Yang 2018;Shc: Distributed query processing for non-relational data store;Consensus;SHC: Distributed Query Processing for Non-Relational Data Store;10.1109/ICDE.2018.00165;Weiqing Yang, Mingjie Tang, Yongyang Yu, Yanbo Liang, Bikas Saha;2018;Cross-domain;Centralized;Query-based;Central orchestrator;"Centralized; Platform";Authentication;Federated databases;Federated databases;"Metadata; Aggregates; Raw data";Automated filtering;"Aggregates; Raw data";;Main server;Receives incoming queries and distributes them over the nodes below.;Database;Holds data. Retrieves data from storage, and worker computes.;;;;;;;;;;;;;;;;;;Insufficient;#743-SHC;SHC is a Spark SQL–HBase connector enabling distributed relational query processing over non-relational HBase storage. It extends Spark SQL with HBase-aware optimization (partition pruning, predicate pushdown, locality optimization), supports multiple encodings, and includes credential/token management for secure multi-cluster access.;4;4;4;4;3;3;3
